position_id,issuer,issuer_country,asset_class,rating,accounting_classification,maturity_bucket,scenario_name,scenario_description,rate_shock_bps,credit_spread_shock_bps,total_yield_shock_bps,base_market_value_m,stressed_market_value_m,economic_value_impact_m,market_value_impact_pct,estimated_oci_impact_m,estimated_immediate_pnl_impact_m,accounting_impact_note
TRSY_003,Federal Republic of Germany,Germany,Sovereign,AAA,FVOCI,2-5Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,0,50,1131.594,1115.606,-15.988,-1.4129,-15.988,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_004,DE Industrial A,Germany,Corporate Bond,BBB,FVOCI,2-5Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,249.467,246.748,-2.719,-1.0899,-2.719,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_004,DE Industrial A,Germany,Corporate Bond,BBB,FVOCI,2-5Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,249.467,244.067,-5.4,-2.1645,-5.4,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_004,DE Industrial A,Germany,Corporate Bond,BBB,FVOCI,2-5Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,249.467,255.02,5.553,2.2258,5.553,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_004,DE Industrial A,Germany,Corporate Bond,BBB,FVOCI,2-5Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,249.467,241.425,-8.042,-3.2238,-8.042,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_004,DE Industrial A,Germany,Corporate Bond,BBB,FVOCI,2-5Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,249.467,236.254,-13.213,-5.2965,-13.213,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_005,DE Industrial A,Germany,Corporate Bond,BBB,FVOCI,10Y+,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,764.695,745.262,-19.433,-2.5413,-19.433,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_005,DE Industrial A,Germany,Corporate Bond,BBB,FVOCI,10Y+,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,764.695,726.496,-38.199,-4.9954,-38.199,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_005,DE Industrial A,Germany,Corporate Bond,BBB,FVOCI,10Y+,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,764.695,805.563,40.868,5.3443,40.868,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_005,DE Industrial A,Germany,Corporate Bond,BBB,FVOCI,10Y+,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,764.695,708.397,-56.298,-7.3622,-56.298,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_005,DE Industrial A,Germany,Corporate Bond,BBB,FVOCI,10Y+,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,764.695,674.201,-90.494,-11.834,-90.494,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_006,NWB Bank,Netherlands,Agency/Supranational,AAA,Amortised Cost,2-5Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,3206.6,3176.875,-29.725,-0.927,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_006,NWB Bank,Netherlands,Agency/Supranational,AAA,Amortised Cost,2-5Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,3206.6,3147.509,-59.091,-1.8428,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_006,NWB Bank,Netherlands,Agency/Supranational,AAA,Amortised Cost,2-5Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,3206.6,3267.124,60.524,1.8875,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_006,NWB Bank,Netherlands,Agency/Supranational,AAA,Amortised Cost,2-5Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,3206.6,3118.5,-88.1,-2.7474,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_006,NWB Bank,Netherlands,Agency/Supranational,AAA,Amortised Cost,2-5Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,3206.6,3061.558,-145.042,-4.5232,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_007,FR Covered Bank A,France,Covered Bond,AA+,FVOCI,10Y+,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,416.479,406.926,-9.553,-2.2937,-9.553,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_007,FR Covered Bank A,France,Covered Bond,AA+,FVOCI,10Y+,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,416.479,397.654,-18.825,-4.52,-18.825,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_007,FR Covered Bank A,France,Covered Bond,AA+,FVOCI,10Y+,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,416.479,436.427,19.948,4.7897,19.948,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_007,FR Covered Bank A,France,Covered Bond,AA+,FVOCI,10Y+,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,416.479,388.663,-27.816,-6.6789,-27.816,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_007,FR Covered Bank A,France,Covered Bond,AA+,FVOCI,10Y+,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,416.479,371.522,-44.957,-10.7944,-44.957,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_008,DE Auto A,Germany,Corporate Bond,A,Amortised Cost,5-10Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,3729.13,3673.488,-55.642,-1.4921,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_008,DE Auto A,Germany,Corporate Bond,A,Amortised Cost,5-10Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,3729.13,3618.885,-110.245,-2.9563,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_008,DE Auto A,Germany,Corporate Bond,A,Amortised Cost,5-10Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,3729.13,3843.532,114.402,3.0678,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_008,DE Auto A,Germany,Corporate Bond,A,Amortised Cost,5-10Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,3729.13,3565.321,-163.809,-4.3927,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_008,DE Auto A,Germany,Corporate Bond,A,Amortised Cost,5-10Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,3729.13,3461.311,-267.819,-7.1818,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_009,NL Covered Bank A,Netherlands,Covered Bond,AAA,FVOCI,2-5Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,1391.039,1381.188,-9.851,-0.7082,-9.851,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_009,NL Covered Bank A,Netherlands,Covered Bond,AAA,FVOCI,2-5Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,1391.039,1371.433,-19.606,-1.4095,-19.606,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_009,NL Covered Bank A,Netherlands,Covered Bond,AAA,FVOCI,2-5Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,1391.039,1411.027,19.988,1.4369,19.988,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_009,NL Covered Bank A,Netherlands,Covered Bond,AAA,FVOCI,2-5Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,1391.039,1361.773,-29.266,-2.1039,-29.266,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_009,NL Covered Bank A,Netherlands,Covered Bond,AAA,FVOCI,2-5Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,1391.039,1342.739,-48.3,-3.4722,-48.3,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_010,Federal Republic of Germany,Germany,Sovereign,AA,FVOCI,2-5Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,857.324,851.214,-6.11,-0.7127,-6.11,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_010,Federal Republic of Germany,Germany,Sovereign,AA,FVOCI,2-5Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,857.324,845.163,-12.161,-1.4184,-12.161,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_010,Federal Republic of Germany,Germany,Sovereign,AA,FVOCI,2-5Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,857.324,869.722,12.398,1.4462,12.398,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_010,Federal Republic of Germany,Germany,Sovereign,AA,FVOCI,2-5Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,0,0,857.324,857.324,0.0,0.0,0.0,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_010,Federal Republic of Germany,Germany,Sovereign,AA,FVOCI,2-5Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,0,50,857.324,845.163,-12.161,-1.4184,-12.161,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_011,KfW,Germany,Agency/Supranational,AAA,Amortised Cost,2-5Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,2473.761,2450.812,-22.949,-0.9277,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_011,KfW,Germany,Agency/Supranational,AAA,Amortised Cost,2-5Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,2473.761,2428.141,-45.62,-1.8442,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_011,KfW,Germany,Agency/Supranational,AAA,Amortised Cost,2-5Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,2473.761,2520.489,46.728,1.8889,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_011,KfW,Germany,Agency/Supranational,AAA,Amortised Cost,2-5Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,2473.761,2405.746,-68.015,-2.7495,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_011,KfW,Germany,Agency/Supranational,AAA,Amortised Cost,2-5Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,2473.761,2361.786,-111.975,-4.5265,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_012,NL Covered Bank A,Netherlands,Covered Bond,AAA,FVOCI,10Y+,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,2012.407,1955.96,-56.447,-2.8049,-56.447,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_012,NL Covered Bank A,Netherlands,Covered Bond,AAA,FVOCI,10Y+,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,2012.407,1901.549,-110.858,-5.5087,-110.858,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_012,NL Covered Bank A,Netherlands,Covered Bond,AAA,FVOCI,10Y+,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,2012.407,2131.406,118.999,5.9133,118.999,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_012,NL Covered Bank A,Netherlands,Covered Bond,AAA,FVOCI,10Y+,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,2012.407,1849.173,-163.234,-8.1114,-163.234,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_012,NL Covered Bank A,Netherlands,Covered Bond,AAA,FVOCI,10Y+,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,2012.407,1750.527,-261.88,-13.0133,-261.88,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_013,BE Industrial A,Belgium,Corporate Bond,BBB,FVOCI,2-5Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,2280.61,2264.88,-15.73,-0.6897,-15.73,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_013,BE Industrial A,Belgium,Corporate Bond,BBB,FVOCI,2-5Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,2280.61,2249.299,-31.311,-1.3729,-31.311,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_013,BE Industrial A,Belgium,Corporate Bond,BBB,FVOCI,2-5Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,2280.61,2312.52,31.91,1.3992,31.91,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_013,BE Industrial A,Belgium,Corporate Bond,BBB,FVOCI,2-5Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,2280.61,2233.868,-46.742,-2.0495,-46.742,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_013,BE Industrial A,Belgium,Corporate Bond,BBB,FVOCI,2-5Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,2280.61,2203.455,-77.155,-3.3831,-77.155,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_014,BNG Bank,Netherlands,Agency/Supranational,AAA,FVOCI,2-5Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,562.586,558.638,-3.948,-0.7018,-3.948,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_014,BNG Bank,Netherlands,Agency/Supranational,AAA,FVOCI,2-5Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,562.586,554.727,-7.859,-1.3969,-7.859,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_014,BNG Bank,Netherlands,Agency/Supranational,AAA,FVOCI,2-5Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,562.586,570.597,8.011,1.424,8.011,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_014,BNG Bank,Netherlands,Agency/Supranational,AAA,FVOCI,2-5Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,562.586,550.855,-11.731,-2.0852,-11.731,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_014,BNG Bank,Netherlands,Agency/Supranational,AAA,FVOCI,2-5Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,562.586,543.226,-19.36,-3.4413,-19.36,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_015,Kingdom of Belgium,Belgium,Sovereign,AAA,FVOCI,2-5Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,2055.608,2032.841,-22.767,-1.1076,-22.767,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_015,Kingdom of Belgium,Belgium,Sovereign,AAA,FVOCI,2-5Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,2055.608,2010.398,-45.21,-2.1994,-45.21,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_015,Kingdom of Belgium,Belgium,Sovereign,AAA,FVOCI,2-5Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,2055.608,2102.115,46.507,2.2624,46.507,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_015,Kingdom of Belgium,Belgium,Sovereign,AAA,FVOCI,2-5Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,0,0,2055.608,2055.608,0.0,0.0,0.0,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_015,Kingdom of Belgium,Belgium,Sovereign,AAA,FVOCI,2-5Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,0,50,2055.608,2010.398,-45.21,-2.1994,-45.21,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_016,EU Consumer A,Other EU,Corporate Bond,BBB,FVOCI,5-10Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,1184.011,1166.781,-17.23,-1.4552,-17.23,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_016,EU Consumer A,Other EU,Corporate Bond,BBB,FVOCI,5-10Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,1184.011,1149.868,-34.143,-2.8836,-34.143,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_016,EU Consumer A,Other EU,Corporate Bond,BBB,FVOCI,5-10Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,1184.011,1219.424,35.413,2.991,35.413,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_016,EU Consumer A,Other EU,Corporate Bond,BBB,FVOCI,5-10Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,1184.011,1133.274,-50.737,-4.2852,-50.737,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_016,EU Consumer A,Other EU,Corporate Bond,BBB,FVOCI,5-10Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,1184.011,1101.038,-82.973,-7.0078,-82.973,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_017,Kingdom of Belgium,Belgium,Sovereign,AA+,FVOCI,5-10Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,2990.7,2929.526,-61.174,-2.0455,-61.174,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_017,Kingdom of Belgium,Belgium,Sovereign,AA+,FVOCI,5-10Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,2990.7,2869.912,-120.788,-4.0388,-120.788,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_017,Kingdom of Belgium,Belgium,Sovereign,AA+,FVOCI,5-10Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,2990.7,3117.731,127.031,4.2475,127.031,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_017,Kingdom of Belgium,Belgium,Sovereign,AA+,FVOCI,5-10Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,0,0,2990.7,2990.7,0.0,0.0,0.0,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_017,Kingdom of Belgium,Belgium,Sovereign,AA+,FVOCI,5-10Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,0,50,2990.7,2869.912,-120.788,-4.0388,-120.788,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_018,Federal Republic of Germany,Germany,Sovereign,AA,FVOCI,2-5Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,1071.688,1059.455,-12.233,-1.1415,-12.233,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_018,Federal Republic of Germany,Germany,Sovereign,AA,FVOCI,2-5Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,1071.688,1047.398,-24.29,-2.2665,-24.29,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_018,Federal Republic of Germany,Germany,Sovereign,AA,FVOCI,2-5Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,1071.688,1096.684,24.996,2.3324,24.996,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_018,Federal Republic of Germany,Germany,Sovereign,AA,FVOCI,2-5Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,0,0,1071.688,1071.688,0.0,0.0,0.0,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_018,Federal Republic of Germany,Germany,Sovereign,AA,FVOCI,2-5Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,0,50,1071.688,1047.398,-24.29,-2.2665,-24.29,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_019,Kingdom of Belgium,Belgium,Sovereign,AA,Amortised Cost,0-2Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,1047.649,1045.104,-2.545,-0.2429,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
TRSY_019,Kingdom of Belgium,Belgium,Sovereign,AA,Amortised Cost,0-2Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,1047.649,1042.572,-5.077,-0.4846,0.0,0.0,Prototype assumption: market-rate valuation movement is economic value only; no immediate OCI/P&L impact is modelled.
